PRGFX,10.0896,1.99302,4.97242
CFNAX,2.28853,-1.33542,4.95768
MRLHX,1.58638,0.0982163,4.95343
FPJAX,7.25329,-4.1287,4.95294
RFNCX,2.05382,-1.4416,4.92332
CFNEX,2.06472,-1.4185,4.92134
PRJPX,13.7026,-3.67733,4.92117
MYJ,7.99293,9.89513,4.91557
ITGIX,10.0903,2.06473,4.9128
TRSAX,9.84133,1.87748,4.90071
RFEBX,2.11629,-1.51657,4.90018
TRLGX,8.9826,1.75908,4.8967
BLE,0.58619,10.6518,4.89112
BLE,0.58619,10.6518,4.89112
VMVLX,-1.47441,-1.8097,4.8874
FCLBX,-12.3225,-12.6845,4.88381
FCLCX,-12.2471,-12.6319,4.87239
BSE,7.19045,5.75552,4.86894
ITGSX,9.82984,1.94852,4.86514
RRGSX,9.57175,1.75244,4.84232
VSPGX,4.6292,0.924797,4.83613
MCLHX,1.0321,-0.14661,4.83295
OIRDX,-0.889979,-2.0556,4.8299
ITRGX,9.66582,1.87357,4.8267
OYRDX,-1.04019,-2.10923,4.8255
MQT,6.07713,8.64075,4.82373
FAMGX,8.00406,0.670715,4.82141
AFIBX,1.63483,-1.63637,4.81952
FJPTX,6.82376,-4.34735,4.81544
GLVIX,-1.09419,-3.86127,4.81473
RFNBX,1.64306,-1.64033,4.81392
PRCOX,1.82801,-0.825764,4.81365
AFICX,1.59364,-1.65574,4.81294
RFNAX,1.59195,-1.65378,4.81294
IGEAX,9.58065,1.83847,4.81241
CFNBX,1.5266,-1.68506,4.80983
CFNCX,1.53741,-1.68854,4.80226
BYM,5.73596,8.24512,4.79715
OARDX,-1.24481,-2.1963,4.78697
MBLHX,1.0219,-0.144064,4.77962
FJPCX,6.50183,-4.43714,4.77477
GLVYX,-1.26461,-3.94615,4.7595
FJPBX,6.37523,-4.49714,4.75336
PACOX,1.48294,-1.0027,4.74781
PRGIX,2.54313,1.00789,4.7363
VWUAX,7.60771,0.592644,4.73491
GLVAX,-1.51807,-4.06103,4.71432
VYM,-1.05781,-1.16034,4.70048
VWUSX,7.46567,0.532408,4.69667
ONRDX,-1.51831,-2.35156,4.68467
MADVX,-1.29159,-1.02258,4.68063
RRCOX,1.22297,-1.08923,4.66654
GLVNX,-1.73551,-4.17163,4.66025
VHDYX,-1.12654,-1.20425,4.66011
BREDX,3.67499,3.67726,4.65696
TRISX,1.58069,-1.00385,4.64384
MGC,0.466685,-1.40715,4.63587
BEDIX,3.43564,3.61599,4.63268
MDDVX,-1.53696,-1.11686,4.62427
BAEDX,3.16751,3.49991,4.58991
OCRDX,-1.94388,-2.54227,4.58879
VDC,5.29519,3.81898,4.58096
BCEDX,2.59814,3.29179,4.57612
FBTIX,3.40475,-15.2665,4.5648
MRDVX,-1.85142,-1.27662,4.56447
VEIRX,-0.323935,-0.768878,4.56383
TRULX,6.86237,1.82582,4.55761
VEIPX,-0.381058,-0.803552,4.55697
BFGBX,6.38128,-0.891645,4.55642
GLVCX,-2.2044,-4.38403,4.55276
TRVLX,-3.08108,-4.53995,4.54582
MSDVX,-1.66062,-1.22493,4.54416
OBRDX,-2.02511,-2.53655,4.54312
FHEIX,0.525335,5.52928,4.53819
MAFGX,6.27546,-0.927659,4.53119
VOOG,4.26801,0.586935,4.52939
BTA,6.99689,9.2584,4.52231
RGAGX,4.59554,-0.844634,4.52203
VCSAX,5.18048,3.76118,4.5207
PAVLX,-3.29903,-4.60918,4.52013
PAULX,6.65457,1.67481,4.51698
VMCTX,0.450597,-1.36582,4.51426
FBTAX,3.04487,-15.4781,4.51035
VONG,4.52451,-0.233593,4.50893
RGAFX,4.53052,-0.868208,4.50598
FHEAX,0.267761,5.41668,4.48881
GFFFX,4.48673,-0.891268,4.48673
BEDCX,-2.06869,-1.39988,4.47961
CGFFX,4.40445,-0.921348,4.47867
VGHAX,11.1097,-2.9698,4.461
MCDVX,-2.21925,-1.46681,4.45903
MYI,8.34214,7.79473,4.45042
MDFGX,5.97952,-1.06094,4.44929
RGAEX,4.2513,-0.986996,4.44865
VGHCX,11.0507,-2.98861,4.44353
AGTHX,4.26729,-0.979735,4.4387
FBTTX,2.67558,-15.6593,4.42176
FFIDX,2.22525,-2.59605,4.4206
VHT,5.63192,-5.2924,4.42049
TILCX,-4.89962,-4.06213,4.41799
GFAFX,4.22071,-1.00784,4.41767
FHETX,0.0323855,5.26999,4.40802
CGFAX,4.18341,-1.03278,4.4055
MBDVX,-2.27547,-1.50118,4.39452
VDIGX,2.01432,1.4304,4.38647
CGFEX,3.95426,-1.13276,4.37694
PRDGX,1.14889,-1.07372,4.37616
MRFGX,5.72133,-1.21044,4.37616
RGACX,3.95332,-1.15489,4.3759
RGEBX,3.92664,-1.14068,4.36837
FBTBX,2.16998,-15.86,4.3398
FBTCX,1.93956,-16.0475,4.3398
TADGX,0.928395,-1.18447,4.32488
VHCIX,5.51686,-5.36086,4.32235
VSLPX,1.55893,-0.853753,4.30877
MALRX,-0.330051,-1.71509,4.30576
VSLIX,1.53036,-0.85742,4.30413
FHECX,-0.471916,5.0193,4.30294
MIY,4.21112,6.2924,4.29499
BIE,5.82466,8.32328,4.28534
FHEBX,-0.513917,5.00549,4.28435
RGABX,3.57056,-1.31914,4.27978
AGRBX,3.52681,-1.33053,4.26739
GFACX,3.46534,-1.34529,4.2654
RGAAX,3.4989,-1.35262,4.26423
MCFGX,5.11676,-1.50039,4.26129
CGFCX,3.40236,-1.41044,4.25056
CMVIX,0.629921,-1.69231,4.24144
MDLRX,-0.56136,-1.81456,4.23991
CGFBX,3.3915,-1.40614,4.23687
CMVSX,0.319744,-1.79969,4.23588
MSLRX,-0.65496,-1.83191,4.22993
MRLRX,-0.808296,-1.88833,4.2026
BBF,6.12273,8.65306,4.17493
VTV,-2.25241,-2.70542,4.16556
PRIDX,8.80454,-2.18062,4.16206
BMCAX,0.326797,-1.83853,4.15606
VIVIX,-2.25095,-2.7261,4.14143
VVIAX,-2.25992,-2.72915,4.13814
VIVAX,-2.368,-2.79922,4.13518
MGK,2.95535,-0.802252,4.13367
VGIAX,1.14156,-1.10308,4.13299
BMCRX,0,-2.01707,4.12201
VQNPX,1.03644,-1.1565,4.11319
VINAX,-4.95017,-3.37954,4.09903
MBLRX,-1.35313,-2.17518,4.08212
MBFGX,4.88459,-1.61986,4.07821
MCLRX,-1.31249,-2.1468,4.07508
VIIIX,0.210439,-1.70121,4.07471
VMGAX,2.87042,-0.844532,4.07066
VINIX,0.19079,-1.71085,4.06994
VFIAX,0.189107,-1.72699,4.06577
TRREX,1.62089,6.21615,4.06434
OMSIX,2.58971,-0.760851,4.06091
WFSPX,0.206141,-1.71083,4.05381
MIGYX,2.42646,-0.833796,4.04915
BSPIX,0.13836,-1.74259,4.04038
VFINX,0.0821436,-1.77847,4.03834
SPY,0.195476,-1.63761,4.03602
MCA,7.78441,9.79049,4.0236
BMCVX,-0.458295,-2.16216,4.02299
PAREX,1.45081,6.14363,4.01775
PREIX,-0.032644,-1.84014,4.01093
BSPSX,0.0205714,-1.79973,4.00773
VIS,-5.06907,-3.43904,3.99249
VMRAX,5.99108,-0.763813,3.9895
BSPAX,-0.104157,-1.86223,3.9794
MSIGX,2.16845,-0.960216,3.97385
BMCCX,-0.463822,-2.18778,3.97287
VWILX,-0.959549,-7.59378,3.96586
VFAIX,-1.8043,-3.14777,3.95699
VMRGX,5.88467,-0.813918,3.95501
OMGNX,1.9498,-1.06968,3.93241
VV,-0.0482623,-2.15406,3.93014
VWIGX,-1.06224,-7.67239,3.91364
FHCIX,-1.57005,-13.6103,3.90107
VFH,-1.82371,-3.25106,3.87847
FACDX,-2.1249,-14.0027,3.84933
VNQ,-0.902019,5.35212,3.83207
OMSBX,1.46198,-1.28314,3.83047
MIGCX,1.44972,-1.28228,3.82532
VGSLX,-0.927842,5.28992,3.81954
BSPZX,-0.798359,-2.19751,3.81575
VGSNX,-0.90977,5.34107,3.81406
FACTX,-2.60131,-14.3098,3.79341
BFY,7.34788,2.04661,3.79046
BFY,7.34788,2.04661,3.79046
